color,Hue/Tone,R,G,B,h,s,v,L,a,b
Carmine,R/V,208,0,32,350,100,81,44,69,45
Coral,R/S,184,28,16,4,91,72,40,59,49
Rose,R/B,255,88,80,2,68,100,61,63,43
Flamingo,R/P,255,152,136,8,46,100,73,37,30
Babypink,R/Vp,255,212,200,13,21,100,88,13,17
Pinkbeige,R/Lgr,208,180,176,7,15,81,76,9,11
Sandalwood,R/L,237,128,122,3,48,92,66,41,26
Rosegray,R/Gr,184,147,143,5,22,72,64,13,12
Oldrose,R/Dl,168,104,96,6,42,65,51,25,19
Brickred,R/Dp,168,0,34,347,100,65,35,59,33
Mahogany,R/Dk,104,0,31,342,100,40,20,43,14
Maroon,R/Dgr,64,0,24,337,100,25,10,31,4
Orange,YR/V,255,156,0,36,100,100,73,29,96
Persimmon,YR/S,216,128,0,35,100,84,62,27,84
Apricot,YR/B,255,168,40,35,84,100,76,23,88
Sunset,YR/P,255,188,104,33,59,100,81,15,61
Paleocher,YR/Vp,255,213,159,33,37,100,88,8,40
Frenchbeige,YR/Lgr,206,181,159,28,22,80,75,6,20
Beige,YR/L,232,157,96,26,58,90,71,22,51
Rosebeige,YR/Gr,176,143,119,25,32,69,62,9,23
Camel,YR/Dl,176,119,72,27,59,69,55,17,41
Brown,YR/Dp,168,84,0,30,100,65,45,30,78
Coffeebrown,YR/Dk,119,60,0,30,100,46,32,22,55
Falcon,YR/Dgr,64,32,0,30,100,25,16,13,28
Yellow,Y/V,255,217,0,51,100,100,87,-3,116
Gold,Y/S,209,171,0,49,100,81,71,1,98
CanaryYellow,Y/B,255,216,40,49,84,100,87,-2,105
Sulfur,Y/P,255,229,122,48,52,100,91,-4,67
Ivory,Y/Vp,255,242,191,47,25,100,95,-3,35
Rightolivegray,Y/Lgr,205,191,156,42,23,80,78,-1,26
Mustard,Y/L,228,200,99,46,56,89,81,-2,65
Sandbeige,Y/Gr,171,157,109,46,36,67,65,-2,34
Dustyolive,Y/Dl,149,132,64,48,57,58,55,-3,47
Khaki,Y/Dp,160,136,0,51,100,62,57,-2,82
Olive,Y/Dk,112,92,0,49,100,43,40,0,69
Olivebrown,Y/Dgr,60,51,0,51,100,23,21,-2,37
Yellowgreen,GY/V,176,220,0,72,100,86,82,-37,115
Grassgreen,GY/S,151,187,4,71,97,73,71,-32,100
Canary,GY/B,184,224,32,72,85,87,84,-36,107
Lettucegreen,GY/P,218,248,109,72,56,97,93,-29,79
Paleshuttles,GY/Vp,238,255,181,73,29,100,97,-17,44
Mistgreen,GY/Lgr,198,205,156,68,23,80,81,-11,31
Peagreen,GY/L,179,208,89,74,57,81,79,-27,70
Mountainpigeon,GY/Gr,152,164,104,72,36,64,65,-14,38
Leafgreen,GY/Dl,129,145,66,72,54,56,57,-18,50
Olivegreen,GY/Dp,105,136,0,73,100,53,53,-27,91
Ivygreen,GY/Dk,79,96,0,70,100,37,38,-19,65
Seaweed,GY/Dgr,43,53,0,71,100,20,20,-12,35
Green,G/V,0,149,71,148,100,58,54,-52,42
Malachitegreen,G/S,57,155,91,140,63,60,57,-43,34
Emerald,G/B,72,204,125,144,64,80,74,-54,39
Opalingreen,G/P,157,247,173,130,36,96,90,-42,37
Paleopal,G/Vp,218,255,213,112,16,100,97,-19,24
Ashgray,G/Lgr,168,198,164,112,17,77,77,-17,20
Spraygreen,G/L,135,205,149,132,34,80,77,-34,29
Thinleaf,G/Gr,132,170,134,123,22,66,66,-20,21
Jadegreen,G/Dl,102,145,107,126,29,56,56,-23,22
Bilijan,G/Dp,0,117,62,151,100,45,43,-42,30
Bottlegreen,G/Dk,0,81,40,149,100,31,30,-33,24
Junglegreen,G/Dgr,0,53,27,150,100,20,18,-24,16
Peacockgreen,BG/V,0,140,113,168,100,54,52,-39,11
Juelgreen,BG/S,52,139,118,165,62,54,52,-31,9
Turquoise,BG/B,96,202,170,161,52,79,75,-38,13
Lightacuagreen,BG/P,152,231,203,158,34,90,86,-30,13
Horizonblue,BG/Vp,213,255,236,152,16,100,97,-17,12
Eggshellblue,BG/Lgr,166,196,188,164,15,76,77,-12,6
Veniceblue,BG/L,128,200,184,166,36,78,76,-26,7
Bluespruce,BG/Gr,126,156,150,168,19,61,62,-12,4
Cambridgeblue,BG/Dl,82,131,124,171,37,51,51,-18,3
Prussiangreen,BG/Dp,0,104,94,174,100,40,39,-28,2
Tealgreen,BG/Dk,0,72,69,177,100,28,27,-20,-1
Duskygreen,BG/Dgr,0,60,60,180,100,23,22,-17,-3
Ceruleanblue,B/V,0,108,136,192,100,53,42,-16,-20
Lightblue,B/S,54,119,133,190,59,52,47,-16,-11
Skyblue,B/B,91,189,206,188,55,80,72,-24,-13
Aquablue,B/P,150,222,233,187,35,91,84,-20,-7
Paleblue,B/Vp,217,253,255,183,14,100,97,-11,1
Powderblue,B/Lgr,170,188,191,188,10,74,75,-6,1
Aquamarine,B/L,112,173,184,189,39,72,67,-17,-7
bluegray,B/Gr,124,152,156,187,20,61,61,-9,-1
Shadowblue,B/Dl,85,130,142,192,40,55,52,-12,-8
Peacockblue,B/Dp,0,99,123,191,100,48,38,-15,-18
Teal,B/Dk,0,71,91,193,100,35,27,-11,-15
Prussianblue,B/Dgr,0,51,68,195,100,26,19,-8,-14
Ultramarine,PB/V,0,33,152,226,100,59,21,40,-65
Sapphire,PB/S,54,96,141,211,61,55,40,0,-27
Salviablue,PB/B,138,176,223,213,38,87,71,-1,-24
Skymist,PB/P,191,216,255,216,25,100,86,0,-17
Palemist,PB/Vp,225,236,255,218,11,100,93,0,-5
Moonstoneblue,PB/Lgr,179,186,200,220,10,78,75,0,-3
Indigorat,PB/L,133,153,186,217,28,72,63,1,-16
Slateblue,PB/Gr,130,140,157,217,17,61,58,0,-7
Thinbamboo,PB/Dl,102,120,149,217,31,58,50,1,-15
Mineralblue,PB/Dp,0,50,117,214,100,45,22,14,-42
Darkmineralblue,PB/Dk,0,38,102,217,100,40,17,16,-40
Midnightblue,PB/Dgr,0,29,77,217,100,30,12,12,-32
Purple,P/V,132,48,143,293,66,56,36,49,-35
Violet,P/S,131,73,139,292,47,54,40,36,-26
Lavender,P/B,194,135,205,290,34,80,64,34,-25
Lilac,P/P,242,202,255,285,20,100,86,23,-17
Palelilac,P/Vp,247,225,255,284,11,100,92,13,-7
Starlightblue,P/Lgr,197,184,199,292,7,78,76,7,-1
Purplepigeon,P/L,188,156,201,282,22,78,69,20,-16
Pigeon,P/Gr,154,138,159,285,13,62,59,10,-6
Dustylilac,P/Dl,136,112,152,276,26,59,51,17,-16
Pansy,P/Dp,102,0,117,292,100,45,24,53,-39
Prune,P/Dk,84,0,96,292,100,37,19,46,-34
Duskyviolet,P/Dgr,64,0,72,293,100,28,13,38,-27
Magenta,RP/V,192,0,112,325,100,75,42,70,-7
Supinelred,RP/S,186,69,131,328,62,72,47,53,-9
Rosepink,RP/B,239,143,184,334,40,93,70,41,-3
Mauvepink,RP/P,255,196,226,329,23,100,85,26,-3
Cherryrose,RP/Vp,255,225,237,336,11,100,92,12,3
Rosemist,RP/Lgr,207,186,196,331,10,81,78,9,2
Orchid,RP/L,219,149,173,339,31,85,69,30,2
Orchidgray,RP/Gr,165,129,145,333,21,64,58,16,0
Oldmauve,RP/Dl,166,102,126,337,38,65,51,29,0
Wine,RP/Dp,136,0,82,323,100,53,29,55,-8
Redgrape,RP/Dk,106,0,67,322,100,41,22,46,-9
Taupebrown,RP/Dgr,85,0,53,322,100,33,16,40,-8
White,N9.5,255,255,255,0,0,100,100,0,6
Pearlgray,N9,238,238,226,60,5,93,94,-2,12
Silvergray,N8,199,199,187,60,6,78,80,-2,12
Brightash,N7,161,161,148,60,8,63,66,-2,12
Mediumash,N6,143,143,131,60,8,56,59,-2,11
Ashgrey,N5,128,128,117,60,8,50,53,-2,10
Smokegray,N4,107,107,98,60,8,41,45,-2,9
Darkash,N3,76,76,70,60,8,30,32,-1,6
Charcoalgray,N2,46,46,42,60,8,18,19,-1,5
Black,N1.5,0,0,0,0,0,0,0,0,0